Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52257623,Grokking Simplicity: Taming complex software with functional thinking,Eric Normand,"Normand, Eric",,1617296201,9781617296208,0,4.17,Manning,Paperback,592,2021,2019,,2022/05/18,to-read,to-read (#223),to-read,,,,0,0
58446218,How to Take Over the World: Practical Schemes and Scientific Solutions for the Aspiring Supervillain,Ryan North,"North, Ryan",,059319201X,9780593192016,4,4.00,Riverhead Books,Hardcover,388,2022,2022,2022/05/03,2022/03/15,,,read,,,,1,0
55399,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,0765348780,9780765348784,0,3.93,Tor Books,Mass Market Paperback,666,2005,1999,,2022/05/01,to-read,to-read (#222),to-read,,,,0,0
279812,Moral Mazes: The World of Corporate Managers,Robert Jackall,"Jackall, Robert",,0195060806,9780195060805,0,3.97,Oxford University Press,Paperback,272,1989,1988,,2022/04/28,to-read,to-read (#221),to-read,,,,0,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,1250313074,9781250313072,0,4.02,Flatiron Books,Hardcover,461,2019,2019,,2022/04/22,to-read,to-read (#220),to-read,,,,0,0
16151178,The Sea of Tranquility,Katja Millay,"Millay, Katja",,,,0,4.29,Atria Books,Kindle Edition,449,2012,2012,,2022/04/22,to-read,to-read (#219),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,0,4.14,Faber & Faber,Paperback,258,2005,1989,,2022/04/22,to-read,to-read (#218),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,0,3.85,Vintage Books ,Paperback,288,2010,2005,,2022/04/22,to-read,to-read (#217),to-read,,,,0,0
13617432,Notes to a software team leader,Roy Osherove,"Osherove, Roy",,,,0,3.86,Roy Osherove,ebook,100,2012,2012,,2022/04/22,to-read,to-read (#216),to-read,,,,0,0
13594266,"Becoming a Supple Leopard: The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing Athletic Performance",Kelly Starrett,"Starrett, Kelly",Glen Cordoza,1936608588,9781936608584,0,4.39,Victory Belt Publishing,Hardcover,400,2013,2013,,2022/04/22,to-read,to-read (#215),to-read,,,,0,0
22091581,Traction: A Startup Guide to Getting Customers,Gabriel Weinberg,"Weinberg, Gabriel",Justin Mares,0976339609,9780976339601,0,4.11,S-curve Publishing,Hardcover,288,2014,2014,,2022/04/22,to-read,to-read (#214),to-read,,,,0,0
